Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Orléans;47.9;1.9;26/09/2026;2;NUAGEUX;26.2;12.7
Orléans;47.9;1.9;27/09/2026;5;SOLEIL VOILÉ;30.5;10.2
Orléans;47.9;1.9;28/09/2026;5;SOLEIL VOILÉ;27.7;14.4
Orléans;47.9;1.9;29/09/2026;2;NUAGEUX;30.1;14.4
Orléans;47.9;1.9;30/09/2026;2;NUAGEUX;26.5;17.1
Orléans;47.9;1.9;01/10/2026;6;AVERSES;20.9;14.6
Orléans;47.9;1.9;02/10/2026;0;SOLEIL;21.5;10
Orléans;47.9;1.9;03/10/2026;0;SOLEIL;22.9;8.6
Argent-sur-Sauldre;47.56;2.45;26/09/2026;2;NUAGEUX;25.6;10.5
Argent-sur-Sauldre;47.56;2.45;27/09/2026;5;SOLEIL VOILÉ;30;10.7
Argent-sur-Sauldre;47.56;2.45;28/09/2026;5;SOLEIL VOILÉ;26.7;13.6
Argent-sur-Sauldre;47.56;2.45;29/09/2026;0;SOLEIL;29;14.2
Argent-sur-Sauldre;47.56;2.45;30/09/2026;2;NUAGEUX;26.2;16.4
Argent-sur-Sauldre;47.56;2.45;01/10/2026;6;AVERSES;20.4;14.4
Argent-sur-Sauldre;47.56;2.45;02/10/2026;0;SOLEIL;20.7;9.6
Argent-sur-Sauldre;47.56;2.45;03/10/2026;0;SOLEIL;22.1;8.4
Bourges;47.08;2.39;26/09/2026;0;SOLEIL;25.6;14
Bourges;47.08;2.39;27/09/2026;5;SOLEIL VOILÉ;31.7;13.6
Bourges;47.08;2.39;28/09/2026;5;SOLEIL VOILÉ;28.1;17
Bourges;47.08;2.39;29/09/2026;2;NUAGEUX;29.6;15.1
Bourges;47.08;2.39;30/09/2026;2;NUAGEUX;27.7;17.9
Bourges;47.08;2.39;01/10/2026;6;AVERSES;20.9;16.1
Bourges;47.08;2.39;02/10/2026;0;SOLEIL;20.9;12
Bourges;47.08;2.39;03/10/2026;0;SOLEIL;22.5;10.7
Saint-Amand-Montrond;46.72;2.5;26/09/2026;0;SOLEIL;26.7;13.1
Saint-Amand-Montrond;46.72;2.5;27/09/2026;5;SOLEIL VOILÉ;33.1;12.1
Saint-Amand-Montrond;46.72;2.5;28/09/2026;5;SOLEIL VOILÉ;28.9;15.6
Saint-Amand-Montrond;46.72;2.5;29/09/2026;2;NUAGEUX;31.1;15
Saint-Amand-Montrond;46.72;2.5;30/09/2026;2;NUAGEUX;28.4;17.2
Saint-Amand-Montrond;46.72;2.5;01/10/2026;6;AVERSES;21.1;15.9
Saint-Amand-Montrond;46.72;2.5;02/10/2026;0;SOLEIL;21.1;11.1
Saint-Amand-Montrond;46.72;2.5;03/10/2026;0;SOLEIL;22.6;9.6
Sancerre;47.33;2.84;26/09/2026;0;SOLEIL;25.1;13.1
