Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Lille;50.62;3.05;25/09/2026;0;SOLEIL;26.6;12.5
Lille;50.62;3.05;26/09/2026;5;SOLEIL VOILÉ;21.4;14.7
Lille;50.62;3.05;27/09/2026;0;SOLEIL;25.5;13
Lille;50.62;3.05;28/09/2026;7;PLUIE FAIBLE;23.5;15.6
Lille;50.62;3.05;29/09/2026;2;NUAGEUX;29.1;16.6
Lille;50.62;3.05;30/09/2026;2;NUAGEUX;26;18.2
Lille;50.62;3.05;01/10/2026;2;NUAGEUX;21.7;16.1
Lille;50.62;3.05;02/10/2026;7;PLUIE FAIBLE;21.4;13.6
Amiens;49.894;2.295;25/09/2026;0;SOLEIL;28.9;10.2
Amiens;49.894;2.295;26/09/2026;5;SOLEIL VOILÉ;22.6;15
Amiens;49.894;2.295;27/09/2026;5;SOLEIL VOILÉ;26.2;11.6
Amiens;49.894;2.295;28/09/2026;7;PLUIE FAIBLE;23.6;15.1
Amiens;49.894;2.295;29/09/2026;0;SOLEIL;29.9;15.9
Amiens;49.894;2.295;30/09/2026;2;NUAGEUX;25.6;16.9
Amiens;49.894;2.295;01/10/2026;6;AVERSES;21.6;15.4
Amiens;49.894;2.295;02/10/2026;0;SOLEIL;21.2;12.6
Château-Thierry;49.046;3.403;25/09/2026;0;SOLEIL;28.4;8.1
Château-Thierry;49.046;3.403;26/09/2026;0;SOLEIL;26.1;9.2
Château-Thierry;49.046;3.403;27/09/2026;5;SOLEIL VOILÉ;27.7;8.6
Château-Thierry;49.046;3.403;28/09/2026;2;NUAGEUX;24.5;14.7
Château-Thierry;49.046;3.403;29/09/2026;0;SOLEIL;29.2;14.5
Château-Thierry;49.046;3.403;30/09/2026;2;NUAGEUX;25.7;15.2
Château-Thierry;49.046;3.403;01/10/2026;7;PLUIE FAIBLE;22.4;14.6
Château-Thierry;49.046;3.403;02/10/2026;0;SOLEIL;21.9;11.6
Laon;49.56;3.62;25/09/2026;0;SOLEIL;26.6;11.1
Laon;49.56;3.62;26/09/2026;5;SOLEIL VOILÉ;25.1;11.6
Laon;49.56;3.62;27/09/2026;0;SOLEIL;27.1;12
Laon;49.56;3.62;28/09/2026;2;NUAGEUX;24.5;14.6
Laon;49.56;3.62;29/09/2026;0;SOLEIL;29.4;14.9
Laon;49.56;3.62;30/09/2026;2;NUAGEUX;25.6;16.1
Laon;49.56;3.62;01/10/2026;7;PLUIE FAIBLE;21.2;15.7
Laon;49.56;3.62;02/10/2026;0;SOLEIL;20.9;12.9
Saint-Quentin;49.85;3.29;25/09/2026;0;SOLEIL;26.9;12
Saint-Quentin;49.85;3.29;26/09/2026;5;SOLEIL VOILÉ;24.6;13.1
Saint-Quentin;49.85;3.29;27/09/2026;0;SOLEIL;27.1;12.1
Saint-Quentin;49.85;3.29;28/09/2026;2;NUAGEUX;24.5;15
Saint-Quentin;49.85;3.29;29/09/2026;0;SOLEIL;30.1;15.9
Saint-Quentin;49.85;3.29;30/09/2026;2;NUAGEUX;25.7;16.9
Saint-Quentin;49.85;3.29;01/10/2026;7;PLUIE FAIBLE;22;15.9
Saint-Quentin;49.85;3.29;02/10/2026;0;SOLEIL;21.6;13.2
Soissons;49.38;3.32;25/09/2026;0;SOLEIL;28.7;9.2
Soissons;49.38;3.32;26/09/2026;5;SOLEIL VOILÉ;26.9;11.1
Soissons;49.38;3.32;27/09/2026;5;SOLEIL VOILÉ;28.1;10.6
Soissons;49.38;3.32;28/09/2026;2;NUAGEUX;25.1;14.5
Soissons;49.38;3.32;29/09/2026;0;SOLEIL;30.7;14.6
