Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Orléans;47.9;1.9;26/09/2026;00:00;16.1;0;SOLEIL;8.3;18.0;0
Orléans;47.9;1.9;26/09/2026;01:00;16;0;SOLEIL;8.6;16.6;0
Orléans;47.9;1.9;26/09/2026;02:00;14.9;0;SOLEIL;8.7;17.3;0
Orléans;47.9;1.9;26/09/2026;03:00;13.9;0;SOLEIL;7.6;16.2;0
Orléans;47.9;1.9;26/09/2026;04:00;13.4;2;NUAGEUX;6.5;14.0;0
Orléans;47.9;1.9;26/09/2026;05:00;14;2;NUAGEUX;5.4;11.9;0
Orléans;47.9;1.9;26/09/2026;06:00;14.4;2;NUAGEUX;5.4;10.1;0
Orléans;47.9;1.9;26/09/2026;07:00;15;2;NUAGEUX;5.1;10.1;0
Orléans;47.9;1.9;26/09/2026;08:00;16.1;2;NUAGEUX;5.4;10.4;0
Orléans;47.9;1.9;26/09/2026;09:00;17.7;2;NUAGEUX;5.8;11.5;0
Orléans;47.9;1.9;26/09/2026;10:00;19.2;2;NUAGEUX;4.9;11.9;0
Orléans;47.9;1.9;26/09/2026;11:00;20.4;2;NUAGEUX;4.1;10.4;0
Orléans;47.9;1.9;26/09/2026;12:00;22.4;2;NUAGEUX;3.2;9.7;0
Orléans;47.9;1.9;26/09/2026;13:00;23.4;2;NUAGEUX;2.1;9.0;0
Orléans;47.9;1.9;26/09/2026;14:00;24;5;SOLEIL VOILÉ;1.0;6.8;0
Orléans;47.9;1.9;26/09/2026;15:00;25.3;0;SOLEIL;1.3;5.8;0
Orléans;47.9;1.9;26/09/2026;16:00;25.7;0;SOLEIL;3.6;10.1;0
Orléans;47.9;1.9;26/09/2026;17:00;24.9;0;SOLEIL;4.3;12.2;0
Orléans;47.9;1.9;26/09/2026;18:00;22;2;NUAGEUX;6.3;15.1;0
Orléans;47.9;1.9;26/09/2026;19:00;19.9;0;SOLEIL;7.2;16.2;0
Orléans;47.9;1.9;26/09/2026;20:00;18.9;0;SOLEIL;6.5;13.3;0
Orléans;47.9;1.9;26/09/2026;21:00;17.7;0;SOLEIL;8.4;15.5;0
Orléans;47.9;1.9;26/09/2026;22:00;17.1;0;SOLEIL;6.0;15.5;0
Orléans;47.9;1.9;26/09/2026;23:00;16.2;5;SOLEIL VOILÉ;4.7;11.5;0
Orléans;47.9;1.9;27/09/2026;00:00;15.1;0;SOLEIL;6.2;11.2;0
Orléans;47.9;1.9;27/09/2026;01:00;15.1;0;SOLEIL;8.4;15.5;0
Orléans;47.9;1.9;27/09/2026;02:00;12.4;0;SOLEIL;8.6;17.3;0
Orléans;47.9;1.9;27/09/2026;03:00;12.4;0;SOLEIL;7.7;15.8;0
