Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Lille;50.62;3.05;26/09/2026;00:00;16.2;0;SOLEIL;9.4;17.3;0
Lille;50.62;3.05;26/09/2026;01:00;16.1;2;NUAGEUX;8.6;15.1;0
Lille;50.62;3.05;26/09/2026;02:00;16;2;NUAGEUX;11.2;17.6;0
Lille;50.62;3.05;26/09/2026;03:00;15.9;2;NUAGEUX;11.9;19.4;0
Lille;50.62;3.05;26/09/2026;04:00;15.6;2;NUAGEUX;11.5;18.7;0
Lille;50.62;3.05;26/09/2026;05:00;16.1;2;NUAGEUX;10.8;17.3;0
Lille;50.62;3.05;26/09/2026;06:00;16.6;2;NUAGEUX;11.2;17.6;0
Lille;50.62;3.05;26/09/2026;07:00;16.5;2;NUAGEUX;10.4;17.3;0
Lille;50.62;3.05;26/09/2026;08:00;17.9;2;NUAGEUX;11.2;18.4;0
Lille;50.62;3.05;26/09/2026;09:00;18.7;2;NUAGEUX;11.2;20.2;0
Lille;50.62;3.05;26/09/2026;10:00;18.9;2;NUAGEUX;11.5;22.3;0
Lille;50.62;3.05;26/09/2026;11:00;19;2;NUAGEUX;11.9;23.0;0
Lille;50.62;3.05;26/09/2026;12:00;20.4;2;NUAGEUX;11.2;23.8;0
Lille;50.62;3.05;26/09/2026;13:00;20.6;2;NUAGEUX;9.7;23.0;0
Lille;50.62;3.05;26/09/2026;14:00;20.9;2;NUAGEUX;10.1;22.7;0
Lille;50.62;3.05;26/09/2026;15:00;20.6;2;NUAGEUX;10.1;23.4;0
Lille;50.62;3.05;26/09/2026;16:00;20.4;2;NUAGEUX;9.4;22.7;0
Lille;50.62;3.05;26/09/2026;17:00;20;2;NUAGEUX;9.0;20.9;0
Lille;50.62;3.05;26/09/2026;18:00;18.9;2;NUAGEUX;10.8;20.2;0
Lille;50.62;3.05;26/09/2026;19:00;17.7;2;NUAGEUX;11.5;20.5;0
Lille;50.62;3.05;26/09/2026;20:00;17.4;2;NUAGEUX;11.2;19.8;0
Lille;50.62;3.05;26/09/2026;21:00;16.9;2;NUAGEUX;12.2;20.2;0
Lille;50.62;3.05;26/09/2026;22:00;16.5;2;NUAGEUX;12.6;22.3;0
Lille;50.62;3.05;26/09/2026;23:00;15.6;2;NUAGEUX;11.5;21.2;0
Lille;50.62;3.05;27/09/2026;00:00;15.2;2;NUAGEUX;9.0;19.1;0
Lille;50.62;3.05;27/09/2026;01:00;15.2;2;NUAGEUX;12.2;20.5;0
Lille;50.62;3.05;27/09/2026;02:00;13.4;5;SOLEIL VOILÉ;10.1;22.0;0
Lille;50.62;3.05;27/09/2026;03:00;13.4;5;SOLEIL VOILÉ;10.1;19.1;0
Lille;50.62;3.05;27/09/2026;04:00;13.4;5;SOLEIL VOILÉ;8.3;18.4;0
Lille;50.62;3.05;27/09/2026;05:00;13.4;5;SOLEIL VOILÉ;11.2;20.5;0
Lille;50.62;3.05;27/09/2026;06:00;13.4;5;SOLEIL VOILÉ;14.4;26.6;0
Lille;50.62;3.05;27/09/2026;07:00;13.4;5;SOLEIL VOILÉ;15.1;29.5;0
Lille;50.62;3.05;27/09/2026;08:00;17.2;5;SOLEIL VOILÉ;11.5;28.1;0
Lille;50.62;3.05;27/09/2026;09:00;17.2;5;SOLEIL VOILÉ;10.1;21.6;0
Lille;50.62;3.05;27/09/2026;10:00;17.2;5;SOLEIL VOILÉ;9.7;19.4;0
Lille;50.62;3.05;27/09/2026;11:00;22.2;5;SOLEIL VOILÉ;11.5;24.1;0
Lille;50.62;3.05;27/09/2026;12:00;22.2;5;SOLEIL VOILÉ;9.4;22.7;0
Lille;50.62;3.05;27/09/2026;13:00;22.2;5;SOLEIL VOILÉ;10.1;20.9;0
Lille;50.62;3.05;27/09/2026;14:00;25.1;5;SOLEIL VOILÉ;8.3;23.8;0
Lille;50.62;3.05;27/09/2026;15:00;25.1;5;SOLEIL VOILÉ;6.8;16.9;0
Lille;50.62;3.05;27/09/2026;16:00;25.1;5;SOLEIL VOILÉ;8.6;19.1;0
Lille;50.62;3.05;27/09/2026;17:00;22.7;5;SOLEIL VOILÉ;9.4;20.5;0
Lille;50.62;3.05;27/09/2026;18:00;22.7;5;SOLEIL VOILÉ;10.4;23.0;0
Lille;50.62;3.05;27/09/2026;19:00;22.7;5;SOLEIL VOILÉ;10.4;20.9;0
Lille;50.62;3.05;27/09/2026;20:00;21.1;5;SOLEIL VOILÉ;10.4;19.8;0
Lille;50.62;3.05;27/09/2026;21:00;21.1;5;SOLEIL VOILÉ;10.4;19.4;0
Lille;50.62;3.05;27/09/2026;22:00;21.1;5;SOLEIL VOILÉ;9.7;18.7;0
Lille;50.62;3.05;27/09/2026;23:00;18.6;5;SOLEIL VOILÉ;9.0;16.9;0
Lille;50.62;3.05;28/09/2026;00:00;18.6;5;SOLEIL VOILÉ;7.6;14.8;0
Lille;50.62;3.05;28/09/2026;01:00;18.6;5;SOLEIL VOILÉ;8.3;14.0;0
Lille;50.62;3.05;28/09/2026;02:00;18.1;2;NUAGEUX;8.3;15.1;0
Lille;50.62;3.05;28/09/2026;03:00;18.1;2;NUAGEUX;8.3;15.5;0
Lille;50.62;3.05;28/09/2026;04:00;18.1;2;NUAGEUX;7.6;15.1;0
Lille;50.62;3.05;28/09/2026;05:00;17.6;2;NUAGEUX;6.5;13.7;0
Lille;50.62;3.05;28/09/2026;06:00;17.6;2;NUAGEUX;6.5;12.2;0
