Ville;Latitude;Longitude;Date;Heure;temperature_2m;weathercode;Temps_Label;windspeed_10m;wind_gusts_10m;precipitation
Toulouse;43.6;1.44;10/09/2026;00:00;15.6;0;SOLEIL;9.8;20.2;0
Toulouse;43.6;1.44;10/09/2026;01:00;15.7;0;SOLEIL;11.1;23.0;0
Toulouse;43.6;1.44;10/09/2026;02:00;14.9;0;SOLEIL;11.2;22.3;0
Toulouse;43.6;1.44;10/09/2026;03:00;14.1;0;SOLEIL;11.3;23.8;0
Toulouse;43.6;1.44;10/09/2026;04:00;13.5;0;SOLEIL;13.8;28.4;0
Toulouse;43.6;1.44;10/09/2026;05:00;13.5;0;SOLEIL;17.7;40.7;0
Toulouse;43.6;1.44;10/09/2026;06:00;13.1;0;SOLEIL;10.6;36.7;0
Toulouse;43.6;1.44;10/09/2026;07:00;15;0;SOLEIL;10.4;29.5;0
Toulouse;43.6;1.44;10/09/2026;08:00;16.8;0;SOLEIL;10.4;26.6;0
Toulouse;43.6;1.44;10/09/2026;09:00;19.1;0;SOLEIL;9.7;25.2;0
Toulouse;43.6;1.44;10/09/2026;10:00;20.4;0;SOLEIL;10.6;22.0;0
Toulouse;43.6;1.44;10/09/2026;11:00;22.1;5;SOLEIL VOILÉ;14.9;32.0;0
Toulouse;43.6;1.44;10/09/2026;12:00;23;5;SOLEIL VOILÉ;14.5;31.3;0
Toulouse;43.6;1.44;10/09/2026;13:00;24.1;0;SOLEIL;14.8;31.7;0
Toulouse;43.6;1.44;10/09/2026;14:00;23.9;0;SOLEIL;14.0;32.8;0
Toulouse;43.6;1.44;10/09/2026;15:00;24.1;0;SOLEIL;14.8;32.0;0
Toulouse;43.6;1.44;10/09/2026;16:00;24.6;0;SOLEIL;15.8;33.5;0
Toulouse;43.6;1.44;10/09/2026;17:00;24;0;SOLEIL;14.6;33.5;0
Toulouse;43.6;1.44;10/09/2026;18:00;22.4;0;SOLEIL;13.2;33.1;0
Toulouse;43.6;1.44;10/09/2026;19:00;21.6;0;SOLEIL;13.8;29.2;0
Toulouse;43.6;1.44;10/09/2026;20:00;20.3;0;SOLEIL;12.0;28.4;0
Toulouse;43.6;1.44;10/09/2026;21:00;18.3;0;SOLEIL;10.7;25.2;0
Toulouse;43.6;1.44;10/09/2026;22:00;18.2;0;SOLEIL;9.2;21.2;0
Toulouse;43.6;1.44;10/09/2026;23:00;17.1;0;SOLEIL;5.9;18.0;0
Toulouse;43.6;1.44;11/09/2026;00:00;15.6;0;SOLEIL;4.6;11.5;0
Toulouse;43.6;1.44;11/09/2026;01:00;15.6;0;SOLEIL;4.7;10.1;0
Toulouse;43.6;1.44;11/09/2026;02:00;13.1;0;SOLEIL;4.1;9.4;0
Toulouse;43.6;1.44;11/09/2026;03:00;13.1;0;SOLEIL;3.5;8.6;0
Toulouse;43.6;1.44;11/09/2026;04:00;13.1;0;SOLEIL;3.4;7.6;0
Toulouse;43.6;1.44;11/09/2026;05:00;12.6;0;SOLEIL;3.2;6.8;0
Toulouse;43.6;1.44;11/09/2026;06:00;12.6;0;SOLEIL;2.3;6.5;0
Toulouse;43.6;1.44;11/09/2026;07:00;12.6;0;SOLEIL;3.0;5.8;0
Toulouse;43.6;1.44;11/09/2026;08:00;19.9;0;SOLEIL;2.6;5.4;0
Toulouse;43.6;1.44;11/09/2026;09:00;19.9;0;SOLEIL;3.4;7.9;0
Toulouse;43.6;1.44;11/09/2026;10:00;19.9;0;SOLEIL;4.9;10.8;0
Toulouse;43.6;1.44;11/09/2026;11:00;24.1;0;SOLEIL;7.9;17.6;0
Toulouse;43.6;1.44;11/09/2026;12:00;24.1;0;SOLEIL;7.9;18.4;0
